t,binance_funding_rate,funding_payment
1735689600000,,1.25e-05
1735689600015,0.0001,
1735693200000,,1.25e-05
1735696800000,,1.25e-05
1735700400000,,1.25e-05
1735704000000,,1.25e-05
1735707600000,,1.25e-05
1735711200000,,1.25e-05
1735714800000,,1.25e-05
1735718400000,0.0001,1.25e-05
1735722000000,,1.25e-05
1735725600000,,1.25e-05
1735729200000,,1.25e-05
1735732800000,,1.25e-05
1735736400000,,1.25e-05
1735740000000,,1.25e-05
1735743600000,,1.25e-05
1735747200000,,1.25e-05
1735747200001,0.0001,
1735750800000,,1.25e-05
1735754400000,,1.25e-05
1735758000000,,1.25e-05
1735761600000,,2.315e-05
1735765200000,,1.25e-05
1735768800000,,3.77e-05
1735772400000,,1.559e-05
1735776000000,0.0001,3.793e-05
1735779600000,,0.00012564
1735783200000,,1.25e-05
1735786800000,,1.25e-05
1735790400000,,1.25e-05
1735794000000,,4.722e-05
1735797600000,,5.838e-05
1735801200000,,3.28e-05
1735804800000,,2.522e-05
1735804800006,0.0001,
1735808400000,,5.021e-05
1735812000000,,3.482e-05
1735815600000,,6.366e-05
1735819200000,,4.193e-05
1735822800000,,2.369e-05
1735826400000,,2.045e-05
1735830000000,,8.415e-05
1735833600000,0.0001,3.134e-05
1735837200000,,1.25e-05
1735840800000,,1.25e-05
1735844400000,,1.25e-05
1735848000000,,1.25e-05
1735851600000,,1.25e-05
1735855200000,,1.25e-05
1735858800000,,1.25e-05
1735862400000,0.0001,1.25e-05
1735866000000,,2.448e-05
1735869600000,,1.687e-05
1735873200000,,1.25e-05
1735876800000,,3.116e-05
1735880400000,,1.25e-05
1735884000000,,1.924e-05
1735887600000,,1.25e-05
1735891200000,0.0001,1.25e-05
1735894800000,,1.25e-05
1735898400000,,1.25e-05
1735902000000,,1.25e-05
1735905600000,,1.25e-05
1735909200000,,1.25e-05
1735912800000,,1.25e-05
1735916400000,,4.384e-05
1735920000000,0.0001,4.97e-05
1735923600000,,1.25e-05
1735927200000,,1.25e-05
1735930800000,,1.377e-05
1735934400000,,1.25e-05
1735938000000,,1.25e-05
1735941600000,,1.25e-05
1735945200000,,1.25e-05
1735948800000,0.0001,1.25e-05
1735952400000,,1.25e-05
1735956000000,,1.25e-05
1735959600000,,1.25e-05
1735963200000,,1.25e-05
1735966800000,,1.25e-05
1735970400000,,1.25e-05
1735974000000,,1.25e-05
1735977600000,0.0001,1.25e-05
1735981200000,,1.25e-05
1735984800000,,1.25e-05
1735988400000,,1.25e-05
1735992000000,,1.25e-05
